Symbol,Total_Records,Date_Range_Start,Date_Range_End,Avg_Price,Min_Price,Max_Price,Price_Volatility,Avg_Change_Pct,Max_Gain,Max_Loss
IRFC,1072,2021-01-29 00:00:00+05:30,2025-06-03 00:00:00+05:30,68.76800904167233,17.766529083251953,214.0705413818359,59.15276559264627,0.2126523653968316,25.088192412254497,-13.500325190955154
ITC,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,249.8066253723986,115.3801498413086,505.31646728515625,101.72537907161589,0.05350404527341813,10.04565057330588,-12.486542221036755
JINDALSTEL,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,349.42271076366364,52.76029586791992,1075.4490966796875,285.57159004695745,0.13863497440762237,28.89944289829837,-17.387223144935653
JIOFIN,435,2023-08-21 00:00:00+05:30,2025-06-03 00:00:00+05:30,289.5270118450296,200.9199981689453,387.9500122070313,53.54125569754307,0.057292885300564644,13.90859047569004,-9.299431623294767
JSWENERGY,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,199.9496937447801,37.285362243652344,792.0499877929688,194.23542245717098,0.10690178690682986,16.01613789552908,-16.327939254717315
JSWSTEEL,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,443.59097994195673,71.41056060791016,1063.199951171875,293.0285109303703,0.12664711512893997,12.366738909065116,-17.837846168359516
KOTAKBANK,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,1425.996945123603,597.45263671875,2268.800048828125,446.93983094171443,0.058768302395047135,12.050950711363583,-12.999557711818213
LICI,753,2022-05-17 00:00:00+05:30,2025-06-03 00:00:00+05:30,775.4215863596396,521.8914794921875,1188.0999755859375,168.82808390262588,0.0327397355588145,9.705355747523123,-13.094187332694329
LODHA,1019,2021-04-19 00:00:00+05:30,2025-06-02 00:00:00+05:30,793.9424191550722,231.90484619140625,1592.0054931640625,354.18819820048816,0.22391766968304516,18.064513978110732,-11.594741233163528
LT,2466,2015-06-08 00:00:00+05:30,2025-06-03 00:00:00+05:30,1634.3685197049008,596.7963256835938,3910.826416015625,914.6578839680467,0.06911556061653451,14.133628519849752,-16.265770338322618
LTIM,2189,2016-07-21 00:00:00+05:30,2025-06-03 00:00:00+05:30,3153.8448157033836,525.6695556640625,7197.330078125,1944.5323966039132,0.11817746276507808,16.073881580310598,-14.446390731927606
